Date,Price,Open,High,Low,Vol.,
18-Feb-20,57.75,57.35,57.83,56.3,249.2,
17-Feb-20,57.67,57.29,57.7,56.83,115.34,
14-Feb-20,57.32,56.41,57.53,56.15,258.14,
13-Feb-20,56.34,55.75,56.83,54.96,325.51,
12-Feb-20,55.79,54.41,56.36,54.39,305.45,
11-Feb-20,54.01,53.62,54.69,53.6,272.81,
10-Feb-20,53.27,54.2,54.71,53.11,280.18,
7-Feb-20,54.47,55.14,55.4,54.21,270.8,
6-Feb-20,54.93,55.56,56.58,54.25,379.87,
5-Feb-20,55.28,54.05,56.46,54.05,412.27,
4-Feb-20,53.96,54.33,55.65,53.69,409.86,
3-Feb-20,54.45,56.16,56.77,54.08,477.22,
31-Jan-20,58.16,59.3,59.45,57.94,19.6,
30-Jan-20,58.29,59.6,59.65,57.71,104.27,
29-Jan-20,59.81,59.86,60.62,59.26,142.68,
28-Jan-20,59.51,59.03,60.12,58.5,248.95,
27-Jan-20,59.32,60.23,60.49,58.5,259.77,
24-Jan-20,60.69,62.01,62.46,60.25,257.95,
23-Jan-20,62.04,62.68,62.69,61.25,361.91,
22-Jan-20,63.21,64.57,64.58,62.62,273.3,
21-Jan-20,64.59,65.26,65.35,64.06,248.56,
20-Jan-20,65.2,65.98,66,64.92,154.79,
17-Jan-20,64.85,64.69,65.6,64.48,238.64,
16-Jan-20,64.62,64.26,64.97,63.9,220.17,
15-Jan-20,64,64.44,64.6,63.55,229.53,
14-Jan-20,64.49,64.29,65.05,63.92,270.5,
13-Jan-20,64.2,65.13,65.27,63.92,262.47,
10-Jan-20,64.98,65.29,65.66,64.86,272.17,
9-Jan-20,65.37,66,66.1,64.56,364.45,
8-Jan-20,65.44,71.22,71.75,64.94,560.89,
7-Jan-20,68.27,68.63,68.75,67.65,284.92,
6-Jan-20,68.91,69.35,70.74,68.21,341.14,
3-Jan-20,68.6,66.28,69.5,66.22,479.7,
2-Jan-20,66.25,66.41,66.58,65.72,205.69,
31-Dec-19,66,66.65,66.93,65.63,171.01,
30-Dec-19,68.44,68.2,68.99,68.16,29.42,
27-Dec-19,68.16,67.91,68.33,67.57,112.22,
26-Dec-19,67.92,67.27,67.99,67.22,69.82,
24-Dec-19,67.2,66.44,67.26,66.36,104.94,
23-Dec-19,66.39,66.15,66.62,65.81,130.19,
20-Dec-19,66.14,66.56,66.72,65.7,210.55,
19-Dec-19,66.54,66.19,66.78,66.03,229.21,
18-Dec-19,66.17,65.84,66.43,65.56,248.77,
17-Dec-19,66.1,65.31,66.24,65.12,239.85,
16-Dec-19,65.34,65.05,65.66,64.88,183.35,
13-Dec-19,65.22,64.56,65.79,64.5,232.75,
12-Dec-19,64.2,63.9,64.85,63.87,238.31,
11-Dec-19,63.72,64,64.26,63.01,250.14,
10-Dec-19,64.34,64.03,64.69,63.78,235.19,
9-Dec-19,64.25,64.29,64.5,63.61,239.77,
6-Dec-19,64.39,63.41,64.88,62.83,314.6,
5-Dec-19,63.39,62.97,63.91,62.75,294.84,
4-Dec-19,63,61.08,63.51,61,319.04,
