DATE,BOGMBASEW
5/7/1980,157215
5/14/1980,156991
5/21/1980,158912
5/28/1980,158076
6/4/1980,159004
6/11/1980,158109
6/18/1980,158753
6/25/1980,159100
7/2/1980,159984
7/9/1980,160064
7/16/1980,161260
7/23/1980,161607
7/30/1980,157177
8/6/1980,157419
8/13/1980,157117
8/20/1980,159827
8/27/1980,158500
9/3/1980,159348
9/10/1980,158678
9/17/1980,159488
9/24/1980,159750
10/1/1980,159713
10/8/1980,159357
10/15/1980,160473
10/22/1980,162544
10/29/1980,161224
11/5/1980,161884
11/12/1980,162708
11/19/1980,161846
11/26/1980,161652
12/3/1980,162151
12/10/1980,161599
12/17/1980,163422
12/24/1980,164171
12/31/1980,164836
1/7/1981,164274
1/14/1981,161767
1/21/1981,161163
1/28/1981,158360
2/4/1981,158179
2/11/1981,157806
2/18/1981,160237
2/25/1981,159255
3/4/1981,159228
3/11/1981,158045
3/18/1981,160243
3/25/1981,160337
4/1/1981,160902
4/8/1981,160277
4/15/1981,162272
4/22/1981,164164
4/29/1981,162883
5/6/1981,163054
5/13/1981,162311
5/20/1981,164148
5/27/1981,163349
6/3/1981,163057
6/10/1981,162852
6/17/1981,163864
6/24/1981,164712
7/1/1981,164784
7/8/1981,165283
7/15/1981,166076
7/22/1981,168003
7/29/1981,165256
8/5/1981,165072
8/12/1981,165296
8/19/1981,167573
8/26/1981,166622
9/2/1981,165560
9/9/1981,164169
9/16/1981,164933
9/23/1981,165442
9/30/1981,163952
10/7/1981,163468
10/14/1981,164586
10/21/1981,166974
10/28/1981,164928
11/4/1981,164814
11/11/1981,165486
11/18/1981,168004
11/25/1981,168453
12/2/1981,168809
12/9/1981,168419
12/16/1981,170255
12/23/1981,171881
12/30/1981,172413
1/6/1982,172713
1/13/1982,169995
1/20/1982,170907
1/27/1982,167452
2/3/1982,167346
2/10/1982,166222
2/17/1982,169000
2/24/1982,167573
3/3/1982,167027
3/10/1982,164438
3/17/1982,166715
3/24/1982,167029
3/31/1982,166346
4/7/1982,166409
4/14/1982,168140
4/21/1982,170982
4/28/1982,169136
5/5/1982,169206
5/12/1982,169135
5/19/1982,170885
5/26/1982,169994
6/2/1982,171050
6/9/1982,170691
6/16/1982,172257
6/23/1982,172153
6/30/1982,171797
7/7/1982,172924
7/14/1982,173001
7/21/1982,175374
7/28/1982,172519
8/4/1982,172691
8/11/1982,173134
8/18/1982,175291
8/25/1982,174457
9/1/1982,173715
9/8/1982,173127
9/15/1982,173432
9/22/1982,174373
9/29/1982,172566
10/6/1982,173289
10/13/1982,173851
10/20/1982,177024
10/27/1982,175258
11/3/1982,175255
11/10/1982,175678
11/17/1982,178123
11/24/1982,178475
12/1/1982,178728
12/8/1982,178339
12/15/1982,179804
12/22/1982,181958
12/29/1982,182538
1/5/1983,182517
1/12/1983,179643
1/19/1983,179673
1/26/1983,176803
2/2/1983,176091
2/9/1983,175555
2/16/1983,177314
2/23/1983,178118
3/2/1983,177627
3/9/1983,175950
3/16/1983,176789
3/23/1983,178520
3/30/1983,177761
4/6/1983,178515
4/13/1983,179296
4/20/1983,181773
4/27/1983,180040
5/4/1983,180762
5/11/1983,180544
5/18/1983,181704
5/25/1983,181571
6/1/1983,182197
6/8/1983,182632
6/15/1983,182999
6/22/1983,184045
6/29/1983,183479
7/6/1983,185310
7/13/1983,184692
7/20/1983,187199
7/27/1983,184262
8/3/1983,184677
8/10/1983,184829
8/17/1983,186238
8/24/1983,186031
8/31/1983,184980
9/7/1983,185104
9/14/1983,184835
9/21/1983,186108
9/28/1983,183761
10/5/1983,184709
10/12/1983,185498
10/19/1983,187812
10/26/1983,187327
11/2/1983,186179
11/9/1983,187041
11/16/1983,189176
11/23/1983,190436
11/30/1983,190427
12/7/1983,190124
12/14/1983,190521
12/21/1983,193265
12/28/1983,193477
1/4/1984,195406
1/11/1984,193392
1/18/1984,191650
1/25/1984,189398
2/1/1984,188189
2/8/1984,186954
2/15/1984,186954
2/22/1984,186628
2/29/1984,186628
3/7/1984,188943
3/14/1984,188943
3/21/1984,188793
3/28/1984,188793
4/4/1984,191496
4/11/1984,191496
4/18/1984,192803
4/25/1984,192803
5/2/1984,192356
5/9/1984,192356
5/16/1984,192704
5/23/1984,192704
5/30/1984,193546
6/6/1984,193546
6/13/1984,196219
6/20/1984,196219
6/27/1984,196252
7/4/1984,196252
7/11/1984,198775
7/18/1984,198775
7/25/1984,196492
8/1/1984,196492
8/8/1984,197321
8/15/1984,197321
8/22/1984,195892
8/29/1984,195892
9/5/1984,198650
9/12/1984,198650
9/19/1984,197190
9/26/1984,197190
10/3/1984,198122
10/10/1984,198122
10/17/1984,197732
10/24/1984,197732
10/31/1984,198697
11/7/1984,198697
11/14/1984,200504
11/21/1984,200504
11/28/1984,202202
12/5/1984,202202
12/12/1984,203861
12/19/1984,203861
12/26/1984,207010
1/2/1985,207010
1/9/1985,206195
1/16/1985,206195
1/23/1985,199865
1/30/1985,199865
2/6/1985,199639
2/13/1985,199639
2/20/1985,200566
2/27/1985,200566
3/6/1985,203036
3/13/1985,203036
3/20/1985,201910
3/27/1985,201910
4/3/1985,204524
4/10/1985,204524
4/17/1985,206216
4/24/1985,206216
5/1/1985,205512
5/8/1985,205512
5/15/1985,206308
5/22/1985,206308
5/29/1985,208336
6/5/1985,208336
6/12/1985,210756
6/19/1985,210756
6/26/1985,210476
7/3/1985,210476
7/10/1985,213923
7/17/1985,213923
7/24/1985,211019
7/31/1985,211019
8/7/1985,213061
8/14/1985,213061
8/21/1985,212087
8/28/1985,212087
9/4/1985,214929
9/11/1985,214929
9/18/1985,214404
9/25/1985,214404
10/2/1985,214868
10/9/1985,214868
10/16/1985,216436
10/23/1985,216436
10/30/1985,216512
11/6/1985,216512
11/13/1985,219354
11/20/1985,219354
11/27/1985,221492
12/4/1985,221492
12/11/1985,224155
12/18/1985,224155
12/25/1985,226328
1/1/1986,226328
1/8/1986,225727
1/15/1986,225727
1/22/1986,218094
1/29/1986,218094
2/5/1986,216402
2/12/1986,216402
2/19/1986,218479
2/26/1986,218479
3/5/1986,220871
3/12/1986,220871
3/19/1986,220873
3/26/1986,220873
4/2/1986,223869
4/9/1986,223869
4/16/1986,225865
4/23/1986,225865
4/30/1986,224996
5/7/1986,224996
5/14/1986,225993
5/21/1986,225993
5/28/1986,228025
6/4/1986,228025
6/11/1986,230844
6/18/1986,230844
6/25/1986,230026
7/2/1986,230026
7/9/1986,234569
7/16/1986,234569
7/23/1986,231834
7/30/1986,231834
8/6/1986,233076
8/13/1986,233076
8/20/1986,232752
8/27/1986,232752
9/3/1986,235456
9/10/1986,235456
9/17/1986,234996
9/24/1986,234996
10/1/1986,234802
10/8/1986,234802
10/15/1986,237716
10/22/1986,237716
10/29/1986,237857
11/5/1986,237857
11/12/1986,242023
11/19/1986,242023
11/26/1986,243726
12/3/1986,243726
12/10/1986,246588
12/17/1986,246588
12/24/1986,251712
12/31/1986,251712
1/7/1987,251201
1/14/1987,251201
1/21/1987,243836
1/28/1987,243836
2/4/1987,241860
2/11/1987,241860
2/18/1987,242518
2/25/1987,242518
3/4/1987,244329
3/11/1987,244329
3/18/1987,244367
3/25/1987,244367
4/1/1987,246542
4/8/1987,246542
4/15/1987,251194
4/22/1987,251194
4/29/1987,249789
5/6/1987,249789
5/13/1987,250226
5/20/1987,250226
5/27/1987,251500
6/3/1987,251500
6/10/1987,253977
6/17/1987,253977
6/24/1987,251969
7/1/1987,251969
7/8/1987,256368
7/15/1987,256368
7/22/1987,253443
7/29/1987,253443
8/5/1987,254775
8/12/1987,254775
8/19/1987,254000
8/26/1987,254000
9/2/1987,255606
9/9/1987,255606
9/16/1987,256930
9/23/1987,256930
9/30/1987,255751
10/7/1987,255751
10/14/1987,257722
10/21/1987,257722
10/28/1987,260311
11/4/1987,260311
11/11/1987,262144
11/18/1987,262144
11/25/1987,263291
12/2/1987,263291
12/9/1987,266312
12/16/1987,266312
12/23/1987,267732
12/30/1987,267732
1/6/1988,270034
1/13/1988,270034
1/20/1988,264535
1/27/1988,264535
2/3/1988,259968
2/10/1988,259968
2/17/1988,260815
2/24/1988,260815
3/2/1988,261984
3/9/1988,261984
3/16/1988,263089
3/23/1988,263089
3/30/1988,265492
4/6/1988,265492
4/13/1988,269876
4/20/1988,269876
4/27/1988,268223
5/4/1988,268223
5/11/1988,268955
5/18/1988,268955
5/25/1988,268866
6/1/1988,268866
6/8/1988,273844
6/15/1988,273844
6/22/1988,272316
6/29/1988,272316
7/6/1988,277328
7/13/1988,277328
7/20/1988,274644
7/27/1988,274644
8/3/1988,275158
8/10/1988,275158
8/17/1988,274469
8/24/1988,274469
8/31/1988,274987
9/7/1988,274987
9/14/1988,276159
9/21/1988,276159
9/28/1988,273979
10/5/1988,273979
10/12/1988,276169
10/19/1988,276169
10/26/1988,275200
11/2/1988,275200
11/9/1988,279866
11/16/1988,279866
11/23/1988,279018
11/30/1988,279018
12/7/1988,282660
12/14/1988,282660
12/21/1988,284123
12/28/1988,284123
1/4/1989,287506
1/11/1989,287506
1/18/1989,281381
1/25/1989,281381
2/1/1989,274205
2/8/1989,274205
2/15/1989,274971
2/22/1989,274971
3/1/1989,277391
3/8/1989,277391
3/15/1989,279119
3/22/1989,279119
3/29/1989,279514
4/5/1989,279514
4/12/1989,282520
4/19/1989,282520
4/26/1989,281461
5/3/1989,281461
5/10/1989,281156
5/17/1989,281156
5/24/1989,279823
5/31/1989,279823
6/7/1989,284475
6/14/1989,284475
6/21/1989,282308
6/28/1989,282308
7/5/1989,287580
7/12/1989,287580
7/19/1989,284747
7/26/1989,284747
8/2/1989,283863
8/9/1989,283863
8/16/1989,283879
8/23/1989,283879
8/30/1989,283802
9/6/1989,283802
9/13/1989,285566
9/20/1989,285566
9/27/1989,282035
10/4/1989,282035
10/11/1989,285242
10/18/1989,285242
10/25/1989,283836
11/1/1989,283836
11/8/1989,287248
11/15/1989,287248
11/22/1989,288347
11/29/1989,288347
12/6/1989,292256
12/13/1989,292256
12/20/1989,295032
12/27/1989,295032
1/3/1990,298562
1/10/1990,298562
1/17/1990,293131
1/24/1990,293131
1/31/1990,285378
2/7/1990,285378
2/14/1990,287613
2/21/1990,287613
2/28/1990,290273
3/7/1990,290273
3/14/1990,292910
3/21/1990,292910
3/28/1990,293183
4/4/1990,293183
4/11/1990,298766
4/18/1990,298766
4/25/1990,297222
5/2/1990,297222
5/9/1990,297925
5/16/1990,297925
5/23/1990,296312
5/30/1990,296312
6/6/1990,301894
6/13/1990,301894
6/20/1990,300963
6/27/1990,300963
7/4/1990,304719
7/11/1990,304719
7/18/1990,303468
7/25/1990,303468
8/1/1990,303344
8/8/1990,303344
8/15/1990,305408
8/22/1990,305408
8/29/1990,306343
9/5/1990,306343
9/12/1990,309771
9/19/1990,309771
9/26/1990,306590
10/3/1990,306590
10/10/1990,309970
10/17/1990,309970
10/24/1990,308025
10/31/1990,308025
11/7/1990,312608
11/14/1990,312608
11/21/1990,314345
11/28/1990,314345
12/5/1990,316378
12/12/1990,316378
12/19/1990,314285
12/26/1990,314285
1/2/1991,315373
1/9/1991,315373
1/16/1991,308647
1/23/1991,308647
1/30/1991,304763
2/6/1991,304763
2/13/1991,307065
2/20/1991,307065
2/27/1991,308374
3/6/1991,308374
3/13/1991,312045
3/20/1991,312045
3/27/1991,311353
4/3/1991,311353
4/10/1991,315526
4/17/1991,315526
4/24/1991,313126
5/1/1991,313126
5/8/1991,314369
5/15/1991,314369
5/22/1991,313882
5/29/1991,313882
6/5/1991,317946
6/12/1991,317946
6/19/1991,317436
6/26/1991,317436
7/3/1991,320669
7/10/1991,320669
7/17/1991,319885
7/24/1991,319885
7/31/1991,319218
8/7/1991,319218
8/14/1991,319896
8/21/1991,319896
8/28/1991,320852
9/4/1991,320852
9/11/1991,323965
9/18/1991,323965
9/25/1991,319653
10/2/1991,319653
10/9/1991,323409
10/16/1991,323409
10/23/1991,322857
10/30/1991,322857
11/6/1991,327738
11/13/1991,327738
11/20/1991,327910
11/27/1991,327910
12/4/1991,333705
12/11/1991,333705
12/18/1991,335221
12/25/1991,335221
1/1/1992,339002
1/8/1992,339002
1/15/1992,333438
1/22/1992,333438
1/29/1992,327498
2/5/1992,327498
2/12/1992,331682
2/19/1992,331682
2/26/1992,332497
3/4/1992,332497
3/11/1992,336736
3/18/1992,336736
3/25/1992,335321
4/1/1992,335321
4/8/1992,333112
4/15/1992,333112
4/22/1992,332898
4/29/1992,332898
5/6/1992,334273
5/13/1992,334273
5/20/1992,334183
5/27/1992,334183
6/3/1992,336665
6/10/1992,336665
6/17/1992,336861
6/24/1992,336861
7/1/1992,338374
7/8/1992,338374
7/15/1992,341258
7/22/1992,341258
7/29/1992,340948
8/5/1992,340948
8/12/1992,343506
8/19/1992,343506
8/26/1992,342561
9/2/1992,342561
9/9/1992,348657
9/16/1992,348657
9/23/1992,345770
9/30/1992,345770
10/7/1992,349365
10/14/1992,349365
10/21/1992,349449
10/28/1992,349449
11/4/1992,353556
11/11/1992,353556
11/18/1992,357015
11/25/1992,357015
12/2/1992,358077
12/9/1992,358077
12/16/1992,361330
12/23/1992,361330
12/30/1992,367212
1/6/1993,367212
1/13/1993,361790
1/20/1993,361790
1/27/1993,355621
2/3/1993,355621
2/10/1993,359407
2/17/1993,359407
2/24/1993,360762
3/3/1993,360762
3/10/1993,362484
3/17/1993,362484
3/24/1993,363383
3/31/1993,363383
4/7/1993,368066
4/14/1993,368066
4/21/1993,369672
4/28/1993,369672
5/5/1993,368567
5/12/1993,368567
5/19/1993,371299
5/26/1993,371299
6/2/1993,375043
6/9/1993,375043
6/16/1993,375487
6/23/1993,375487
6/30/1993,377576
7/7/1993,377576
7/14/1993,381085
7/21/1993,381085
7/28/1993,377455
8/4/1993,377455
8/11/1993,381660
8/18/1993,381660
8/25/1993,381123
9/1/1993,381123
9/8/1993,385709
9/15/1993,385709
9/22/1993,383753
9/29/1993,383753
10/6/1993,387573
10/13/1993,387573
10/20/1993,388688
10/27/1993,388688
11/3/1993,388737
11/10/1993,388737
11/17/1993,393009
11/24/1993,393009
12/1/1993,394884
12/8/1993,394884
12/15/1993,397831
12/22/1993,397831
12/29/1993,403232
1/5/1994,403232
1/12/1994,399245
1/19/1994,399245
1/26/1994,393816
2/2/1994,393816
2/9/1994,396983
2/16/1994,396983
2/23/1994,399712
3/2/1994,399712
3/9/1994,400102
3/16/1994,400102
3/23/1994,401140
3/30/1994,401140
4/6/1994,406497
4/13/1994,406497
4/20/1994,407710
4/27/1994,407710
5/4/1994,405350
5/11/1994,405350
5/18/1994,406973
5/25/1994,406973
6/1/1994,410543
6/8/1994,410543
6/15/1994,411065
6/22/1994,411065
6/29/1994,413560
7/6/1994,413560
7/13/1994,416941
7/20/1994,416941
7/27/1994,413343
8/3/1994,413343
8/10/1994,415950
8/17/1994,415950
8/24/1994,414987
8/31/1994,414987
9/7/1994,418350
9/14/1994,418350
9/21/1994,415223
9/28/1994,415223
10/5/1994,417983
10/12/1994,417983
10/19/1994,419046
10/26/1994,419046
11/2/1994,419321
11/9/1994,419321
11/16/1994,424371
11/23/1994,424371
11/30/1994,425258
12/7/1994,425258
12/14/1994,426745
12/21/1994,426745
12/28/1994,433193
1/4/1995,433193
1/11/1995,429049
1/18/1995,429049
1/25/1995,421033
2/1/1995,421033
2/8/1995,421990
2/15/1995,421990
2/22/1995,424014
3/1/1995,424014
3/8/1995,426751
3/15/1995,426751
3/22/1995,428458
3/29/1995,428458
4/5/1995,431310
4/12/1995,431310
4/19/1995,435511
4/26/1995,435511
5/3/1995,433334
5/10/1995,433334
5/17/1995,433888
5/24/1995,433888
5/31/1995,435212
6/7/1995,435212
6/14/1995,434766
6/21/1995,434766
6/28/1995,434687
7/5/1995,434687
7/12/1995,437884
7/19/1995,437884
7/26/1995,434129
8/2/1995,434129
8/9/1995,436485
8/16/1995,436485
8/23/1995,434643
8/30/1995,434643
9/6/1995,437873
9/13/1995,437873
9/20/1995,434966
9/27/1995,434966
10/4/1995,436030
10/11/1995,436030
10/18/1995,437358
10/25/1995,437358
11/1/1995,435720
11/8/1995,435720
11/15/1995,439144
11/22/1995,439144
11/29/1995,442377
12/6/1995,442377
12/13/1995,443193
12/20/1995,443193
12/27/1995,451098
1/3/1996,451098
1/10/1996,445756
1/17/1996,445756
1/24/1996,435703
1/31/1996,435703
2/7/1996,434264
2/14/1996,434264
2/21/1996,436898
2/28/1996,436898
3/6/1996,439435
3/13/1996,439435
3/20/1996,440632
3/27/1996,440632
4/3/1996,443149
4/10/1996,443149
4/17/1996,444605
4/24/1996,444605
5/1/1996,440890
5/8/1996,440890
5/15/1996,442648
5/22/1996,442648
5/29/1996,445472
6/5/1996,445472
6/12/1996,445801
6/19/1996,445801
6/26/1996,447648
7/3/1996,447648
7/10/1996,451988
7/17/1996,451988
7/24/1996,448143
7/31/1996,448143
8/7/1996,450693
8/14/1996,450693
8/21/1996,450492
8/28/1996,450492
9/4/1996,453891
9/11/1996,453891
9/18/1996,450880
9/25/1996,450880
10/2/1996,450699
10/9/1996,450699
10/16/1996,453598
10/23/1996,453598
10/30/1996,452590
11/6/1996,452590
11/13/1996,456708
11/20/1996,456708
11/27/1996,460086
12/4/1996,460086
